;nu_Contrato;qtdContratosAditivos
0;000000209;1
2971;010082005;1
2972;010082010;1
2973;010082012;1
2974;010082013;1
1581;001222008;1
1580;001222007;1
1579;001222005;1
2976;010082015;1
2977;010092005;1
2978;010092010;1
2979;010092011;1
2981;010092015;1
1572;001212005;1
2982;010102010;1
2983;010102012;1
2985;010112008;1
2986;010112010;1
2999;010152015;1
2998;010152011;1
1553;001192007;1
2997;010152006;1
1555;001192010;1
1556;001192011;1
2970;010072015;1
2995;010142013;1
2992;010132013;1
2990;010122014;1
1561;0011D2010;1
1562;0012007TP;1
1563;001202005;1
1564;001202007;1
2994;010142010;1
3000;010162010;1
1587;001232005;1
1594;001242005;1
2932;009992008;1
1626;001272013;1
1625;001272012;1
1623;001272010;1
2935;00A232013;1
2936;00A292011;1
1620;001272007;1
1619;001272005;1
2937;00DI22014;1
2938;010002013;1
2939;010012006;1
1615;001262012;1
2940;010012007;1
2942;010012012;1
2946;010022007;1
2947;010022010;1
1610;001262007;1
2960;010052010;1
2958;010042013;1
2956;010042010;1
1598;001242012;1
2954;010032014;1
1601;001252005;1
2967;010072006;1
2952;010032011;1
2951;010022015;1
1605;001252012;1
2950;010022013;1
2949;010022012;1
1608;001262005;1
2948;010022011;1
1603;001252010;1
2931;009912010;1
3002;010162012;1
3006;010172012;1
3063;010392010;1
3065;010392014;1
3066;010392015;1
3069;010412013;1
3071;010412015;1
3072;010422011;1
3073;010422013;1
3074;010422014;1
3076;010432014;1
1480;001112005;1
3077;010442011;1
3079;010442013;1
3081;010452013;1
3082;010452014;1
3084;010472011;1
3085;010472013;1
1471;001102005;1
1457;001082014;1
3097;010522014;1
3093;010512015;1
3092;010512014;1
3091;010512013;1
3090;010502014;1
3062;010382015;1
1463;001092012;1
3088;010502012;1
3087;010482015;1
1467;0010A2009;1
1468;0010B2008;1
1469;0010B2009;1
1470;0010C2009;1
1464;001092013;1
3005;010172011;1
3061;010382014;1
3059;010372015;1
3007;010172013;1
3010;010182014;1
3011;010182015;1
1538;001172008;1
3017;010222011;1
3022;010242013;1
3024;010252013;1
1531;001162010;1
3034;010282013;1
3035;010282014;1
1527;001162005;1
3036;010282015;1
3037;010292011;1
1522;001152011;1
3040;010302014;1
3042;010312011;1
3043;010312013;1
1500;001132005;1
1502;001132009;1
3055;010362014;1
3054;010362013;1
3052;010352014;1
1508;001132015;1
3060;010382012;1
3050;010342014;1
3048;010332014;1
3047;010332013;1
3046;010322015;1
3045;010322013;1
1517;001152005;1
1518;001152007;1
1510;001142006;1
3099;010532013;1
1629;001282005;1
1631;001282008;1
2834;006212011;1
1745;001422010;1
2835;006232014;1
1743;001422005;1
1742;001412015;1
2837;006292005;1
2839;0062A2011;1
1738;001412010;1
1736;001412007;1
1735;001412005;1
2842;0063A2011;1
2846;0064A2012;1
2848;006542013;1
2849;006592013;1
1728;001402006;1
1727;001402005;1
2850;006652005;1
1705;001372008;1
2870;007322006;1
2869;0072B2010;1
2868;0072A2010;1
2863;006TP2013;1
2862;006SA2012;1
2833;006202013;1
1713;001382008;1
2860;006922015;1
2859;006912015;1
1718;001382013;1
2855;0067B2010;1
1721;001392005;1
2853;006712015;1
1715;001382010;1
1704;001372005;1
2831;0061A2007;1
1751;001432010;1
2802;005742013;1
2804;005782005;1
1784;001482006;1
2805;005782013;1
2807;005832013;1
1781;001472013;1
2809;005912015;1
2810;005952015;1
1778;001472008;1
1777;001472006;1
1776;001462015;1
2811;005962015;1
2812;005982015;1
2815;005SA2011;1
1772;001462010;1
1771;001462009;1
1770;001462008;1
2828;006162005;1
1755;001432015;1
1756;001442009;1
2825;006122015;1
2824;0060A2010;1
2823;0060A2009;1
2829;006162011;1
1760;001452006;1
2822;006052015;1
2821;006022015;1
2820;006012015;1
2817;005SE2013;1
2816;005SA2012;1
1769;001462007;1
1761;001452008;1
1630;001282007;1
2871;007382011;1
1701;001362013;1
2905;008702006;1
1663;001322005;1
2906;008712006;1
2907;008722006;1
2908;008762006;1
2909;008772006;1
2910;008782006;1
1657;001312010;1
2912;008862008;1
1654;001312004;1
1653;001302015;1
2913;008872007;1
2914;008912007;1
2916;008SA2012;1
2917;008TP2013;1
2920;009032007;1
1646;0012A2007;1
2930;009832006;1
2928;009662008;1
1634;001282012;1
2927;009542008;1
2926;009532006;1
1637;001292005;1
1665;001322008;1
1638;001292006;1
2923;009262007;1
2922;009142014;1
1642;001292012;1
1643;001292013;1
2921;009082007;1
1645;001292015;1
2924;009272008;1
2874;0075A2007;1
2904;008682009;1
2898;008542008;1
2875;007602012;1
2876;0076A2007;1
1698;001362005;1
2879;007CV2013;1
2881;008002011;1
1694;001352012;1
2882;008012011;1
2886;008122008;1
2887;008142014;1
1690;001352005;1
2888;008202007;1
1688;001342015;1
1687;001342014;1
2889;008382008;1
2890;0083A2010;1
2891;0083B2010;1
1683;001342005;1
1669;001322012;1
1670;001322013;1
1671;001322014;1
2897;008532008;1
1673;001332005;1
1674;001332008;1
2903;008592008;1
2896;008522008;1
2894;008502008;1
1678;001332012;1
2893;008412007;1
2892;0083C2010;1
1681;001332015;1
1682;001342004;1
2895;008512008;1
2800;005712014;1
3101;010542013;1
3104;010552015;1
3296;01PP72011;1
3299;01TP12012;1
3303;01c192009;1
3306;020032006;1
3308;020052010;1
1236;000892006;1
3309;020062013;1
3310;020082010;1
3311;020082015;1
3312;020102015;1
3313;020112015;1
3316;020142010;1
3317;020152010;1
3318;020162010;1
3319;020172010;1
1225;000882005;1
3321;020182010;1
1204;000862006;1
3338;020692010;1
3336;020582015;1
3335;020382010;1
3334;020372010;1
3333;020362010;1
3295;01PP52011;1
3332;020262011;1
1218;000872009;1
3326;020212013;1
3325;020212011;1
3324;020212010;1
3323;020192010;1
3322;020182011;1
1213;000862016;1
1203;000862005;1
3294;01IN92011;1
3293;01IN72011;1
3262;016602008;1
1278;000932004;1
3263;016SA2011;1
3264;017002012;1
3265;017012011;1
3266;017012013;1
3267;017912004;1
3268;017SA2011;1
3269;018002012;1
3270;018012011;1
3272;019SA2011;1
3273;01ADM2011;1
3274;01C012009;1
3275;01C032007;1
3276;01C042010;1
3277;01C082010;1
3278;01C092010;1
3292;01IN52011;1
3291;01D022008;1
3290;01C622009;1
3289;01C422010;1
3288;01C372011;1
3287;01C292011;1
1246;0008A2011;1
3286;01C282011;1
3283;01C242011;1
3281;01C192010;1
1258;000912005;1
3280;01C142007;1
1260;000912007;1
3279;01C132007;1
3285;01C272011;1
1280;000932006;1
3340;020712010;1
3342;020752010;1
1155;00082010A;1
3384;02ADM2011;1
3385;02C082010;1
3386;02PP42011;1
3387;030002005;1
3390;030012011;1
1147;000812008;1
1146;000812007;1
3391;030012013;1
1144;000812005;1
3393;030012015;1
3394;030032013;1
3395;030032014;1
3396;0300A2007;1
3397;030302011;1
3398;030332011;1
3399;030342011;1
3414;040112015;1
3413;040042014;1
3411;03C082010;1
3410;03ADM2011;1
3406;034512013;1
3404;033012009;1
1156;000822004;1
3402;030422011;1
1131;0007A2010;1
3400;030352011;1
1133;0007A2013;1
1134;000802006;1
1135;000802007;1
1136;000802008;1
3401;030392011;1
2404;002592015;1
3382;028032015;1
1159;000822008;1
3343;020762010;1
3344;020772010;1
3346;020812010;1
3347;020842010;1
1194;000852009;1
1193;000852007;1
3348;020902010;1
1191;000852005;1
3349;020952010;1
3350;020992010;1
3351;020SA2011;1
3352;020SA2012;1
3355;021232010;1
3356;021262010;1
3357;021452011;1
1183;000842008;1
3358;021462011;1
1160;000822009;1
3377;025012008;1
3375;023SA2011;1
3374;023522009;1
1167;000832003;1
1168;000832004;1
3379;028012011;1
1170;000832006;1
3369;023022011;1
3367;023012015;1
3365;023012013;1
3364;023012011;1
1180;000842005;1
3362;022SA2011;1
1173;000832009;1
3102;010542014;1
3261;016362012;1
3258;016282012;1
3145;010862011;1
3147;010902015;1
3148;010912011;1
1402;001032009;1
1401;001032008;1
3151;010922013;1
1399;001032006;1
3152;010922015;1
1397;001022015;1
3153;010932010;1
3154;010932011;1
3155;010952013;1
3156;010962013;1
3157;010982013;1
3158;010982015;1
1390;001022008;1
3159;010992011;1
3179;011062012;1
3177;011052011;1
3176;011052010;1
3172;011022015;1
3171;011022014;1
1375;001012005;1
1409;001042005;1
1376;001012006;1
3167;011012012;1
3165;011012010;1
3163;011002011;1
1385;00102010A;1
3161;010992013;1
1387;001022001;1
3170;011022013;1
1366;000B82013;1
3144;010842015;1
1412;001042008;1
1450;001082005;1
1449;001082004;1
3110;010582014;1
3111;010582015;1
3112;0105A2007;1
3113;010602012;1
1440;001072005;1
3115;010612012;1
3116;010612014;1
3117;010612015;1
3119;010622013;1
3120;010632013;1
3121;010652012;1
3122;010662013;1
3123;010672011;1
3124;010682014;1
1430;001062006;1
3142;010832011;1
3141;010822015;1
3139;010822011;1
3135;010752011;1
3134;010742013;1
3132;010742011;1
3143;010832014;1
1420;001052006;1
1423;001052009;1
3129;010732013;1
3128;010712010;1
3126;010692013;1
3125;010682015;1
1429;001062005;1
3130;010732014;1
3259;016312006;1
1365;000A82013;1
1363;000A52008;1
3215;0113A2009;1
3216;011402013;1
3217;011412013;1
3219;011422013;1
3220;011442014;1
3224;011492012;1
1314;000962008;1
3225;011562013;1
3226;011572012;1
3227;011702011;1
3230;011782013;1
3231;011SA2011;1
3233;012012013;1
3234;012022013;1
3235;012062013;1
3236;012082014;1
3237;012112013;1
3257;016272012;1
3256;015912013;1
3255;015012015;1
3254;015012014;1
3250;014202006;1
3248;014032013;1
3214;011392015;1
3247;014022013;1
3245;014012013;1
1297;000942012;1
3243;013512011;1
1301;000952005;1
1302;000952006;1
3238;012202010;1
3246;014012014;1
3181;011072015;1
3213;011392013;1
3211;011382015;1
1362;0009I2010;1
1361;0009H2010;1
1360;0009G2010;1
1359;0009F2010;1
1358;0009E2010;1
1357;0009D2010;1
1356;0009D2009;1
1355;0009C2010;1
1354;0009B2010;1
1351;0009A2009;1
3185;011102013;1
3186;011132009;1
3188;011162015;1
3191;011192011;1
3192;011222011;1
1344;000992009;1
3194;011242012;1
3210;011382011;1
3209;011372015;1
3208;011372013;1
3207;011362015;1
3205;011362013;1
3204;011362010;1
3212;011392011;1
3203;011352015;1
3201;011352011;1
3200;011342015;1
3199;011342013;1
3198;011332015;1
3197;011302013;1
3196;011272014;1
3202;011352013;1
3415;040122013;1
1789;001482015;1
1791;001492007;1
2209;002142011;1
2516;003032011;1
2517;003042009;1
2206;002142004;1
2518;003052009;1
2519;003062011;1
2520;003092009;1
2202;002132009;1
2201;002132004;1
2521;003092011;1
2522;0030A2003;1
2523;0030A2012;1
2524;003102014;1
2196;002122005;1
2195;002122004;1
2192;002112009;1
2191;002112004;1
2532;003172015;1
2178;002082013;1
2179;002082014;1
2180;002092006;1
2181;002092008;1
2531;003172013;1
2211;002152004;1
2530;003172011;1
2185;0020A2013;1
2529;003172007;1
2528;003152015;1
2188;002102012;1
2189;002102013;1
2190;002102015;1
2184;002092013;1
2533;003182007;1
2212;002152006;1
2512;003012015;1
2247;002202014;1
2489;002922007;1
2245;002202012;1
2244;002202011;1
2491;002932007;1
2242;002202009;1
2492;002942007;1
2240;0021A2013;1
2494;002952014;1
2495;002962005;1
2496;002962007;1
2498;002972007;1
2235;002182015;1
2499;002972013;1
2233;002182011;1
2500;002982007;1
2501;002982013;1
2216;002152012;1
2511;003012014;1
2510;003012011;1
2507;003002014;1
2221;002162011;1
2222;002162012;1
2514;003022011;1
2223;002172008;1
2505;003002007;1
2226;002172011;1
2227;002172012;1
2504;003002005;1
2503;002992007;1
2502;002982014;1
2506;003002013;1
2248;002212006;1
2174;002082007;1
2538;003212004;1
2128;0019A2010;1
2570;0033A2012;1
2572;003422012;1
2124;001992009;1
2123;001992008;1
2122;001982014;1
2121;001982013;1
2120;001982012;1
2119;001982011;1
2573;003422015;1
2117;001982005;1
2116;001972015;1
2574;003432015;1
2114;001972011;1
2113;001972010;1
2575;003442015;1
2111;001962014;1
2587;003542014;1
2586;003542011;1
2584;003532012;1
2099;001942014;1
2100;001942015;1
2583;003532011;1
2129;0019A2013;1
2582;003532006;1
2581;003522015;1
2580;003522007;1
2579;00352010A;1
2578;003512015;1
2577;003462011;1
2109;001962012;1
2103;001952011;1
2173;002082006;1
2130;0019B2010;1
2132;0019D2010;1
2171;002072013;1
2540;003222004;1
2541;003222014;1
2167;002072009;1
2166;002062015;1
2542;003242006;1
2164;002062013;1
2544;003242015;1
2547;003262015;1
2552;0032A2012;1
2158;002052011;1
2156;002052007;1
2155;002052005;1
2154;002042015;1
2153;002042012;1
2152;002042010;1
2151;002042009;1
2133;0019E2010;1
2567;003382011;1
2135;002002009;1
2564;003362011;1
2562;003352010;1
2559;003332013;1
2131;0019C2010;1
2558;003332012;1
2557;003322013;1
2145;002022015;1
2146;002032006;1
2147;002032009;1
2556;003322011;1
2149;002032011;1
2143;002022010;1
2588;003552008;1
2249;002212009;1
2251;002212012;1
2422;002632010;1
2423;002632011;1
2362;002482015;1
2425;002642010;1
2358;002482011;1
2357;002472015;1
2356;002472014;1
2355;002472013;1
2353;002462014;1
2352;002462013;1
2428;002652004;1
2430;002652010;1
2432;002662010;1
2347;002452011;1
2346;002452007;1
2433;002662012;1
2434;002672009;1
2451;002762007;1
2447;002742010;1
2330;002412012;1
2331;002412014;1
2445;002732010;1
2441;002702013;1
2365;0024B2013;1
2440;002702010;1
2336;002422013;1
2436;002682006;1
2435;002672010;1
2341;002432015;1
2342;002432016;1
2343;002442007;1
2439;002692010;1
2326;002402007;1
2366;002502011;1
2369;002512008;1
2400;002582011;1
2399;002582010;1
2398;002582009;1
2397;002572014;1
2396;002572011;1
2395;002572010;1
2405;002602009;1
2393;002562016;1
2392;002562011;1
2406;002602010;1
2407;002602013;1
2408;002612008;1
2410;002612010;1
2411;002612011;1
2413;002612015;1
2385;002542011;1
2384;002542007;1
2419;002632004;1
2371;002512011;1
2372;002512013;1
2373;002522004;1
2374;002522008;1
2375;002522010;1
2420;002632007;1
2376;002522011;1
2378;002532004;1
2379;002532009;1
2380;002532010;1
2415;002622011;1
2414;002622010;1
2383;002532015;1
2418;002622014;1
2488;002912007;1
2325;0023A2012;1
2323;002392007;1
2472;002832010;1
2473;002832013;1
2280;002272012;1
2279;002272011;1
2474;002842009;1
2277;002272007;1
2276;002262015;1
2475;002842013;1
2274;002262009;1
2273;002252014;1
2272;002252013;1
2271;002252011;1
2270;002252010;1
2269;002252009;1
2268;002252008;1
2478;002862010;1
2479;002872014;1
2252;002212013;1
2253;002212015;1
2254;002222009;1
2487;002902015;1
2256;002232009;1
2484;002902007;1
2283;002272015;1
2258;002232011;1
2260;002232014;1
2482;002892014;1
2262;002242006;1
2481;002882014;1
2264;002242011;1
2265;002242013;1
2259;002232013;1
2452;002762010;1
2284;002282005;1
2286;002282012;1
2322;002382015;1
2453;002772007;1
2454;002772010;1
2455;002782009;1
2457;002792009;1
2458;002792010;1
2316;002372011;1
2459;002792014;1
2460;0027M2011;1
2313;002362011;1
2311;002352012;1
2310;002352011;1
2462;002802014;1
2307;002352007;1
2304;002332014;1
2466;002822007;1
2467;002822010;1
2287;002292005;1
2288;002292008;1
2289;002302005;1
2290;002302008;1
2471;002832009;1
2292;002302014;1
2285;002282011;1
2293;002312005;1
2295;002322004;1
2297;002322009;1
2469;002822014;1
2299;002332007;1
2300;002332009;1
2468;002822013;1
2294;002312014;1
1790;001492006;1
2094;001932015;1
2589;003562009;1
2715;004622007;1
1898;001642013;1
2717;004622015;1
2718;004632007;1
2720;004642007;1
2721;004642012;1
1893;001632015;1
2722;004642015;1
2723;004652007;1
1890;001632010;1
1889;001632009;1
2725;004662014;1
2726;004672007;1
2728;004682007;1
2729;004702003;1
1883;001622005;1
1882;001612015;1
1867;0015F2013;1
1868;0015H2013;1
2746;004822008;1
2745;004812008;1
2744;004802010;1
2740;004772010;1
2714;004612013;1
2739;004742013;1
2737;004732008;1
2736;004722011;1
2735;004722005;1
2733;004712007;1
2732;004712004;1
2730;004702004;1
2738;004742010;1
1866;0015D2013;1
1901;001652005;1
2711;0045B2010;1
2692;0044B2010;1
1938;001702014;1
2693;0044C2010;1
2694;0044D2010;1
1935;001702008;1
2695;0044E2010;1
2696;0044F2010;1
1932;0016A2013;1
1931;001692015;1
1930;001692013;1
2697;0044G2010;1
1928;001692010;1
1927;001692006;1
2698;0044H2010;1
1925;001682015;1
2699;0044I2010;1
2700;0044J2010;1
2710;0045A2010;1
1907;001662005;1
1908;001662009;1
1909;001662010;1
1910;001662012;1
2707;004572009;1
2712;0045C2010;1
1913;001662015;1
1915;001672008;1
1916;001672010;1
2705;004562013;1
2703;004542014;1
1921;001682005;1
2701;0044K2010;1
1914;001672005;1
2691;0044A2010;1
2747;004832008;1
2749;004862004;1
2772;005172010;1
2773;005172011;1
2774;0052013CC;1
1823;001532010;1
2777;005242011;1
1820;001532005;1
1817;001522013;1
2781;0052A2009;1
1815;001522010;1
2782;005312013;1
1813;001522006;1
1812;001522005;1
2783;005332005;1
2785;005342011;1
2786;005372007;1
2787;005392012;1
2788;0053A2007;1
1793;001492010;1
2798;005702007;1
1795;001492013;1
2797;005612013;1
1797;001492015;1
2794;0054B2007;1
1827;001532015;1
1799;001502006;1
2793;0054A2007;1
2792;0053B2013;1
2791;0053B2010;1
1804;001502015;1
2790;0053A2013;1
2789;0053A2010;1
1800;001502009;1
2748;004842008;1
1828;001542006;1
1830;001542010;1
1862;001592012;1
2750;004872003;1
1860;001582014;1
2753;0048A2005;1
1857;001582011;1
2754;004902007;1
1855;001582008;1
1854;001582007;1
1853;001572015;1
1852;001572014;1
1851;001572013;1
2755;004942011;1
2756;004962011;1
2757;004962013;1
1847;001572007;1
1846;001562015;1
2758;004982011;1
2770;005142010;1
2769;005122011;1
1833;001552006;1
1834;001552009;1
1835;001552011;1
2768;005122006;1
2771;005152011;1
2766;0050B2010;1
1839;001552015;1
1840;001562009;1
2763;005072011;1
2762;005052009;1
2761;005012004;1
2760;005002013;1
2765;0050A2010;1
2093;001932014;1
1941;001712007;1
1943;001712012;1
2628;004052007;1
2629;004052014;1
2046;001852009;1
2045;001852008;1
2630;004062013;1
2632;0040C2005;1
2042;001842013;1
2041;001842011;1
2040;001842009;1
2039;001842008;1
2038;001842007;1
2634;004122014;1
2635;004142011;1
2636;004152011;1
2637;004162011;1
2638;004172011;1
2032;001832008;1
2648;004232011;1
2647;004222013;1
2646;004222011;1
2021;001812015;1
2645;004212011;1
2644;004202011;1
2049;001852014;1
2643;0041B2005;1
2642;0041A2005;1
2641;004192014;1
2640;004192011;1
2639;004182011;1
2030;001822015;1
2031;001832005;1
2025;001822010;1
2649;004232012;1
2626;004042013;1
2624;004032013;1
2591;003582007;1
2592;003602011;1
2089;001932010;1
2593;003602015;1
2087;001932007;1
2595;003612011;1
2085;001922013;1
2084;001922012;1
2598;003632006;1
2080;001912008;1
2078;001902013;1
2077;001902011;1
2601;003652014;1
2602;003712015;1
2074;001902008;1
2073;0018A2005;1
2604;003752011;1
2053;001862013;1
2622;003982014;1
2621;003962009;1
2620;003952011;1
2057;001872011;1
2618;003942010;1
2625;004042010;1
2061;001882008;1
2614;003902014;1
2613;003872010;1
2612;003862011;1
2611;003852011;1
2067;001892008;1
2605;003762010;1
2615;003912006;1
1942;001712008;1
2016;001812009;1
2650;004232013;1
2678;004432013;1
1976;001762009;1
2679;004442009;1
1974;001762005;1
1973;001762004;1
1972;001752015;1
1971;001752014;1
2681;004452009;1
1968;001752005;1
1967;001752004;1
1966;001742015;1
2682;004452011;1
1964;001742013;1
2683;004452013;1
1962;001742011;1
1961;001742008;1
2684;004452014;1
2690;004482013;1
2689;004472013;1
2688;004472011;1
1947;001722008;1
2687;004462013;1
1949;001722010;1
2676;004422009;1
1950;001722013;1
1952;001722015;1
1953;001732004;1
1955;001732010;1
1957;001732015;1
1958;001742004;1
1959;001742005;1
1951;001722014;1
2015;001812008;1
2675;004412014;1
1982;001772005;1
2651;004242011;1
2652;004242013;1
2653;004252011;1
2656;004262011;1
2657;004272014;1
2659;004282014;1
2007;001802005;1
2660;004292013;1
2661;004302013;1
2663;004312013;1
2003;001792012;1
2002;001792011;1
2664;004322014;1
2666;004362013;1
1999;001792005;1
1998;001792004;1
2667;004372009;1
2674;004412012;1
2673;004412009;1
1985;001772009;1
1986;001772010;1
1987;001772014;1
1988;001772015;1
1981;001772004;1
2672;004402009;1
2670;004392009;1
2669;004382013;1
1993;001782010;1
1994;001782011;1
1995;001782013;1
2668;004382009;1
2671;0043A2013;1
3416;040132011;1
3341;020732010;1
3417;040142014;1
4062;212272014;1
